384;Simulation
384;General
384;General
384;Virtual
384;Career
385;Strategy
385;Turn-Based
385;Fantasy
385;Fantasy
385;Tactics
386;Adventure
386;First-Person
386;Visual Novel
386;Modern
386;Modern
387;Miscellaneous
387;General
387;General
388;Sports
388;Traditional
388;Individual
388;Golf
388;Sim
388;Sim
389;Action
389;Platformer
389;Platformer
389;2D
389;2D
390;Strategy
390;Real-Time
390;General
390;General
390;Fantasy
390;Defense
391;Strategy
391;Real-Time
391;Fantasy
391;Fantasy
391;Tactics
392;Miscellaneous
392;Puzzle
392;Action
392;Puzzle
392;General
392;Puzzle
392;General
393;Strategy
393;Turn-Based
393;Fantasy
393;Fantasy
393;Artillery
394;Adventure
394;First-Person
394;Visual Novel
394;Modern
394;Modern
395;Strategy
395;Turn-Based
395;Historic
395;General
395;Historic
396;Role-Playing
396;Console-style RPG
396;Console-style RPG
396;Japanese-Style
397;Role-Playing
397;Console-style RPG
397;Console-style RPG
397;Trainer
398;Strategy
398;Turn-Based
398;Historic
398;General
398;Historic
399;Strategy
399;Turn-Based
399;Fantasy
399;Fantasy
399;Tactics
400;Role-Playing
400;Console-style RPG
400;Console-style RPG
400;Trainer
401;Role-Playing
401;First-Person
401;First-Person
401;Western-Style
402;Strategy
402;Real-Time
402;General
402;General
402;Defense
403;Action
403;Miscellaneous
403;Rhythm
403;Music
403;Music
404;Strategy
404;Turn-Based
404;Fantasy
404;Fantasy
404;Tactics
405;Role-Playing
405;Action RPG
405;Action RPG
406;Strategy
406;Real-Time
406;Historic
406;Historic
406;Defense
407;Action Adventure
407;Adventure
407;Historic
407;General
408;Action
408;Miscellaneous
408;Action Adventure
408;Sci-Fi
408;General
408;Compilation
409;Role-Playing
409;Strategy
409;Turn-Based
409;General
409;General
409;Tactics
410;Miscellaneous
410;Puzzle
410;Action
410;Puzzle
410;General
410;Puzzle
410;General
411;Action
411;Platformer
411;Platformer
411;2D
411;2D
411;3D
412;Action
412;Simulation
412;General
412;General
412;Virtual
412;Career
413;Miscellaneous
413;Puzzle
413;Puzzle
413;General
413;Logic
413;General
414;Driving
414;Racing
414;Simulation
414;GT / Street
414;GT / Street
414;Automobile
415;Action
415;Platformer
415;Platformer
415;2D
415;2D
416;Action
