SHIREN THE WANDERER;71;8.0;Atlus;ChunSoft;Feb 9, 2010;As Shiren, a wandering adventurer with a penchant for exploration, monster-slaying, and item collection, you trek across a beautiful and varied countryside with your companion, Koppa, a talking ferret. Randomly-generated areas, intense boss battles, extensive item customization, and a cast… Expand;21 ;Role-Playing,General,General,Roguelike
PUZZLE QUEST: CHALLENGE OF THE WARLORDS;71;6.2;D3Publisher;Vicious Cycle;Nov 30, 2007;Designed specifically to entertain both casual and hardcore gamers with its deep immersion, five to fifteen minute play sessions and turn-based play style, Puzzle Quest: Challenge of the Warlords incorporates strategy, role-playing elements and a persistent storyline in a puzzle board… Expand;17 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
UDRAW STUDIO;71;tbd;THQ;THQ;Nov 14, 2010;Packaged with the uDraw GameTablet, uDraw Studio was designed as a showcase piece for the capabilities of the device and features a robust set of art creation modes and user-friendly tools that help players create anything from simple doodles to intricate masterpieces that can be saved and shared.;9 ;Miscellaneous,General,General
MORTAL KOMBAT: ARMAGEDDON;71;8.2;Midway;JGI Entertainment;May 29, 2007;Exclusive to the Wii: Players can take their fighting action to a whole new level with all special moves and fatalities executed via the Wii-mote. In addition, not only can gamers enjoy all aspects of Armageddon with the Wii-mote, but the GameCube and Classic Controller as well. Appearing… Expand;29 ;Action,Fighting,Fighting,3D,3D
STAR WARS: THE FORCE UNLEASHED;71;7.9;LucasArts;Krome Studios;Sep 16, 2008;Star Wars: The Force Unleashed casts players as Darth Vader's "Secret Apprentice" and promises to unveil new revelations about the Star Wars galaxy. The expansive story, created under direction from George Lucas, is set during the largely unexplored era between "Star Wars: Episode III… Expand;18 ;Action,Action Adventure,General,General,Shooter,Linear,Third-Person,Arcade
SCARFACE: THE WORLD IS YOURS;71;8.5;Sierra Entertainment;Radical Entertainment;Jun 12, 2007;Scarface: The World Is Yours plunges players deep into the seedy underbelly of 1980s Miami as the one-and-only Tony Montana, featuring the likeness of Al Pacino. Players are challenged to re-enact the climactic mansion shoot-out from the original film, but in the game, Tony fights his way… Expand;23 ;Action Adventure,Modern,General,Modern
SPECTROBES: ORIGINS;71;8.6;Disney Interactive Studios;Genki;Aug 18, 2009;Spectrobes: Origins brings the successful series to Wii for the first time with a new story that reveals secrets from the past through flashbacks of significant events. In Spectrobes: Origins, players use the unique Wii controls to explore vast worlds, excavate three-dimensional fossils and… Expand;22 ;Role-Playing,Action RPG,Action RPG
SEGA SUPERSTARS TENNIS;71;7.0;Sega;Sumo Digital;Mar 18, 2008;Sixteen fan-favorite SEGA characters from Sonic to NiGHTS are serving up fun in SEGA Superstars Tennis. Multiple madcap mini-games keep the party rolling and up to four friends can challenge each other in tournaments, exhibitions and unlockable special events. With hilarious cameos and… Expand;24 ;Sports,Traditional,Individual,Tennis,Tennis
TORNADO OUTBREAK;71;8.2;Konami;Loose Cannon Studios;Sep 29, 2009;Harness the power of a raging tornado and battle the forces of evil in an effort to save to world. Sinister forces have deceived you to believe that your destructive behavior will save an epic hero. In reality, you’re working for evil. Take control of a dynamic tornado as you tear through… Expand;7 ;Action,General,General
DRIIFT MANIA;71;8.0;Konami;Konami;Sep 28, 2009;[WiiWare] DRiiFT Mania is the ultimate top-down multiplayer racing experience. Challenge your friends in fast, exciting races and some totally crazy game modes. You'll need to adapt your driving skills to the different racing environments if you want to succeed. [Nintendo];7 ;Driving,Racing,Arcade,Arcade,Automobile
